mode,lam,r,C
soft,-3,1.25,0.37275641310550633
soft,-3,1.75,0.26986613726643593
soft,-3,2.25,0.11198662765872458
soft,-3,2.75,0.09071297852932247
soft,-3,3.25,0.037088711487121694
soft,-3,3.75,0.00230499490345731
soft,-3,4.25,-0.0054422564922430436
soft,-3,4.75,-0.027410160409455996
soft,-3,5.25,-0.025873576043807783
soft,-3,5.75,-0.030067672656048816
soft,-3,6.25,-0.031842568477049235
soft,-3,6.75,-0.02516575838817017
soft,-3,7.25,-0.023609721743992146
soft,-3,7.75,-0.021957167049141153
soft,-3,8.25,-0.015804049660867823
soft,-3,8.75,-0.008810214438991229
soft,-3,9.25,-0.00807194671161459
soft,-3,9.75,-0.00560791736709854
soft,-3,10.25,-0.001760007045284096
soft,-3,10.75,-0.007130816077081045
soft,-3,11.25,-0.002988402326786245
soft,-3,11.75,-0.00033649391797797856
soft,-3,12.25,-0.0025725671620855234
soft,-3,12.75,-0.0005394586358079197
soft,-3,13.25,-6.36452738575272e-05
soft,-3,13.75,0.0014411009185469365
soft,-3,14.25,0.0037199952199987434
soft,-3,14.75,0.006244094704705768
soft,-3,15.25,0.003525530474257387
soft,-3,15.75,0.002997360634689264
soft,-3,16.25,0.0019812554188207254
soft,-3,16.75,-0.0006729733497818465
soft,-3,17.25,0.0001763951642187103
soft,-3,17.75,-0.00215751724159532
soft,-3,18.25,-0.00012466317074598344
soft,-3,18.75,-0.0005477833913451743
soft,-3,19.25,0.00010350517363735504
soft,-3,19.75,0.0009369572681629902
soft,-3,20.25,0.0016358455536688119
soft,-3,20.75,0.0032349543257019302
soft,-3,21.25,0.003311112576540052
soft,-3,21.75,0.0034113535740233534
soft,-3,22.25,0.00449810056298901
soft,-3,22.75,0.0038432908218664734
soft,-3,23.25,0.003403358593260816
soft,-3,23.75,0.0017599330736418038
soft,-3,24.25,0.003578821774191533
soft,-3,24.75,0.0034556741693778418
soft,-4,0.25,0.9951930635022781
soft,-4,0.75,0.5670337419030341
soft,-4,1.25,0.3458076311852032
soft,-4,1.75,0.22685834984843478
soft,-4,2.25,0.08984022470618656
soft,-4,2.75,0.040010205270498415
soft,-4,3.25,0.022241006305804136
soft,-4,3.75,-0.02445084897440525
soft,-4,4.25,-0.013310361489496181
soft,-4,4.75,-0.03156095529150329
soft,-4,5.25,-0.029607369663918054
soft,-4,5.75,-0.027038017825271377
soft,-4,6.25,-0.023268519034255714
soft,-4,6.75,-0.01845945006519227
soft,-4,7.25,-0.01378270655450394
soft,-4,7.75,-0.010595152048237709
soft,-4,8.25,-0.009240645202663328
soft,-4,8.75,-0.004483663052012484
soft,-4,9.25,-0.004784458215183993
soft,-4,9.75,-0.000787245784758399
soft,-4,10.25,-0.0006037777293887442
soft,-4,10.75,0.0013793001696580265
soft,-4,11.25,0.002166070951813309
soft,-4,11.75,0.0033568021249818104
soft,-4,12.25,0.0034431127033951827
soft,-4,12.75,0.0027574595491656503
soft,-4,13.25,0.005244327952112657
soft,-4,13.75,0.00528356536199603
soft,-4,14.25,0.002914952593349338
soft,-4,14.75,0.004142046006837496
soft,-4,15.25,0.0021316856722300597
soft,-4,15.75,0.0033697340292837014
soft,-4,16.25,0.004095969989594228
soft,-4,16.75,0.0025860892193569954
soft,-4,17.25,0.003271227521067692
soft,-4,17.75,0.00236778173430509
soft,-4,18.25,0.00043921054367150933
soft,-4,18.75,0.0001303680768552336
soft,-4,19.25,0.0011591630884318844
soft,-4,19.75,0.0001829613994134923
soft,-4,20.25,-0.0002873946172455485
soft,-4,20.75,0.00014946669526237142
soft,-4,21.25,-0.002070501189984995
soft,-4,21.75,-0.0012107255389800882
soft,-4,22.25,-0.0004837749519605239
soft,-4,22.75,-0.0001173272829249011
soft,-4,23.25,-0.00019180874772922567
soft,-4,23.75,-0.0017926002401496513
soft,-4,24.25,-0.0026172171476882586
soft,-4,24.75,-0.0023697010788199836
